Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
El Salvador,SLV,"Population, total",SP.POP.TOTL,6280319
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,31870120000
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,5074.60210221806
El Salvador,SLV,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1784
El Salvador,SLV,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.34798885215862
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1803545
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,13687643435.6249
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,7589.29964909381
Equatorial Guinea,GNQ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2156
Equatorial Guinea,GNQ,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.82155421683407
Eritrea,ERI,"Population, total",SP.POP.TOTL,3409447
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,..
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Eritrea,ERI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,384
Eritrea,ERI,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.219947692397037
Estonia,EST,"Population, total",SP.POP.TOTL,1348840
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,38226641740.29
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,28340.3826549406
Estonia,EST,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,626
Estonia,EST,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,11.1341597224282
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1218917
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4746660273.50829
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3894.1620089869
Eswatini,SWZ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,788
Eswatini,SWZ,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.883161035575023
Ethiopia,ETH,"Population, total",SP.POP.TOTL,125384287
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,123140304666
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,982.103161506992
Ethiopia,ETH,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,848
Ethiopia,ETH,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.146229646781817
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,53912
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,3615241800.50058
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,67058.2022648126
Faroe Islands,FRO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Faroe Islands,FRO,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.038952366820003
Fiji,FJI,"Population, total",SP.POP.TOTL,919422
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,4977861885.60316
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5414.12092119088
Fiji,FJI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2592
Fiji,FJI,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.56000182723494
Finland,FIN,"Population, total",SP.POP.TOTL,5556106
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,280253099309.34
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,50440.560224974
Finland,FIN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,536
Finland,FIN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,6.68162198489374
France,FRA,"Population, total",SP.POP.TOTL,68184457
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2794788137066.94
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40988.6396406579
France,FRA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,867
France,FRA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.51246828877731
French Polynesia,PYF,"Population, total",SP.POP.TOTL,280378
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,5622688338.06317
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,20053.9569369322
French Polynesia,PYF,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
French Polynesia,PYF,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.30197091069913
Gabon,GAB,"Population, total",SP.POP.TOTL,2430747
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,20440655695.1804
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,8409.2074145028
Gabon,GAB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1831
Gabon,GAB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.29694822208975
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2636470
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,2204734527.88096
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,836.244875868476
"Gambia, The",GMB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,836
"Gambia, The",GMB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.187713116401856
Georgia,GEO,"Population, total",SP.POP.TOTL,3712502
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,24984568959.605
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,6729.84659930283
Georgia,GEO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1026
Georgia,GEO,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.62639535278365
Germany,DEU,"Population, total",SP.POP.TOTL,83177813
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,4201021706478.62
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,50506.5179638543
Germany,DEU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,700
Germany,DEU,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,7.91182860265874
Ghana,GHA,"Population, total",SP.POP.TOTL,33149152
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,73919003209.9866
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2229.89122647803
Ghana,GHA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1187
Ghana,GHA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.717599050497581
Gibraltar,GIB,"Population, total",SP.POP.TOTL,37609
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,..
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Gibraltar,GIB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Gibraltar,GIB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,16.9028689941238
Greece,GRC,"Population, total",SP.POP.TOTL,10436882
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,217990189600.69
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,20886.5243087629
Greece,GRC,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,652
Greece,GRC,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,5.28092585505901
Greenland,GRL,"Population, total",SP.POP.TOTL,56661
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,3152334771.77992
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,55635.0006491223
Greenland,GRL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Greenland,GRL,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,10.4198655159634
Grenada,GRD,"Population, total",SP.POP.TOTL,116913
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1224007407.40741
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,10469.3867012856
Grenada,GRD,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2350
Grenada,GRD,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.44894066528102
Guam,GUM,"Population, total",SP.POP.TOTL,165180
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,6910000000
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,41833.1517132825
Guam,GUM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Guam,GUM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.00181620050853614
Guatemala,GTM,"Population, total",SP.POP.TOTL,17847877
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,95641446500.6523
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,5358.70156997677
Guatemala,GTM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1996
Guatemala,GTM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.06185178214753
Guinea,GIN,"Population, total",SP.POP.TOTL,14055137
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,19910452541.9219
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1416.59612011764
Guinea,GIN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1651
Guinea,GIN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.371451377528373
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,2105529
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1859601384.05928
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,883.199131457831
Guinea-Bissau,GNB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1577
Guinea-Bissau,GNB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.163331875267451
Guyana,GUY,"Population, total",SP.POP.TOTL,821637
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,14718388489.2086
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,17913.4928066879
Guyana,GUY,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2387
Guyana,GUY,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.48373186699236
Haiti,HTI,"Population, total",SP.POP.TOTL,11503606
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,20253551920.5516
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1760.62635668777
Haiti,HTI,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1440
Haiti,HTI,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.294629353613119
Honduras,HND,"Population, total",SP.POP.TOTL,10463872
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,31426041806.7985
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,3003.28996826399
Honduras,HND,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1976
Honduras,HND,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.01020922274279
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7346100
"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,358679533984.718
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,48825.8441873536
"Hong Kong SAR, China",HKG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
"Hong Kong SAR, China",HKG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.37404881501749
Hungary,HUN,"Population, total",SP.POP.TOTL,9605074
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,177002580544.155
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,18428.028825614
Hungary,HUN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,589
Hungary,HUN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.95293425120931
Iceland,ISL,"Population, total",SP.POP.TOTL,382003
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,29166102877.2755
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,76350.4550416502
Iceland,ISL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1940
Iceland,ISL,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,8.48003811488391
India,IND,"Population, total",SP.POP.TOTL,1425423212
India,IND,GDP (current US$),NY.GDP.MKTP.CD,3346107287730.93
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2347.44829434623
India,IND,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1083
India,IND,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.96929618962877
Indonesia,IDN,"Population, total",SP.POP.TOTL,278830529
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1319101183380.15
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4730.83484836107
Indonesia,IDN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2702
Indonesia,IDN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.5918955237502
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,89524246
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,422662261525.665
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,4721.20437099984
"Iran, Islamic Rep.",IRN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,228
"Iran, Islamic Rep.",IRN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,8.84742330027555
Iraq,IRQ,"Population, total",SP.POP.TOTL,44070551
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,287372232137.931
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,6520.73154560584
Iraq,IRQ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,216
Iraq,IRQ,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,5.04369459778254
Ireland,IRL,"Population, total",SP.POP.TOTL,5212836
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,548341794599.09
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,105190.685952731
Ireland,IRL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1118
Ireland,IRL,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,6.84581291258731
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84132
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,7431257410.92713
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,88328.548125887
Isle of Man,IMN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Isle of Man,IMN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..
Israel,ISR,"Population, total",SP.POP.TOTL,9557500
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,525181008025.57
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,54949.621556429
Israel,ISR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Israel,ISR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,6.65826837562124
Italy,ITA,"Population, total",SP.POP.TOTL,59013667
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2104067630319.46
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,35653.9042103495
Italy,ITA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,832
Italy,ITA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,5.60897190137329
Jamaica,JAM,"Population, total",SP.POP.TOTL,2839144
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,18813516805.214
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,6626.47502388538
Jamaica,JAM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2051
Jamaica,JAM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.64695978787973
Japan,JPN,"Population, total",SP.POP.TOTL,125124989
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,4262463317796.53
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,34065.6438962526
Japan,JPN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1668
Japan,JPN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,8.3956307081074
Jordan,JOR,"Population, total",SP.POP.TOTL,11256263
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,48764963380.2817
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4332.25159897931
Jordan,JOR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,111
Jordan,JOR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.07333464045749
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,20034609
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,225496328925.494
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,11255.3396437881
Kazakhstan,KAZ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,250
Kazakhstan,KAZ,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,12.3050866627844
Kenya,KEN,"Population, total",SP.POP.TOTL,54252461
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,114448978152.637
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,2109.56288513137
Kenya,KEN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,630
Kenya,KEN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.405006512054817
Kiribati,KIR,"Population, total",SP.POP.TOTL,130469
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,270040453.254018
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,2069.7671726925
Kiribati,KIR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Kiribati,KIR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.580980922671286
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,26328845
"Korea, Dem. People's Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,..
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,..
"Korea, Dem. People's Rep.",PRK,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1054
"Korea, Dem. People's Rep.",PRK,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.27140993081922
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51672569
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1799363116866.52
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,34822.4048404971
"Korea, Rep.",KOR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1274
"Korea, Rep.",KOR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,11.8737409785064
Kosovo,XKX,"Population, total",SP.POP.TOTL,1768096
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,9354907646.29785
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,5290.95006509706
Kosovo,XKX,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Kosovo,XKX,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..
Kuwait,KWT,"Population, total",SP.POP.TOTL,4589643
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,183502046693.878
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,39981.7691035833
Kuwait,KWT,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,121
Kuwait,KWT,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,22.3585581710822
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6975220
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,12134931017.9465
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1739.72018344174
Kyrgyz Republic,KGZ,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,533
Kyrgyz Republic,KGZ,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.5054865652983
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7559007
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,15468785203.7532
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2046.40440255621
Lao PDR,LAO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1834
Lao PDR,LAO,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.17918742501495
Latvia,LVA,"Population, total",SP.POP.TOTL,1879383
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,38003198508.9107
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,20221.103686109
Latvia,LVA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,667
Latvia,LVA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.68567769315781
Lebanon,LBN,"Population, total",SP.POP.TOTL,5744489
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,20992421948.8081
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,3654.35845534878
Lebanon,LBN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,661
Lebanon,LBN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.81652362812428
Lesotho,LSO,"Population, total",SP.POP.TOTL,2286110
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2354980960.02697
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1030.12582947757
Lesotho,LSO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,788
Lesotho,LSO,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.42915695220265
Liberia,LBR,"Population, total",SP.POP.TOTL,5373294
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,4001047000
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,744.617175237387
Liberia,LBR,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2391
Liberia,LBR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.161651307373094
Libya,LBY,"Population, total",SP.POP.TOTL,7223805
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,43246297921.8499
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,5986.63694851258
Libya,LBY,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,56
Libya,LBY,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,8.05301361263212
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,39493
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,7426856242.7736
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,188055.003235348
Liechtenstein,LIE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Liechtenstein,LIE,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..
Lithuania,LTU,"Population, total",SP.POP.TOTL,2831639
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,71033884499.7824
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,25085.784063499
Lithuania,LTU,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,656
Lithuania,LTU,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.65112254775415
Luxembourg,LUX,"Population, total",SP.POP.TOTL,653103
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,80801680397.0139
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,123719.658915996
Luxembourg,LUX,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,934
Luxembourg,LUX,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,11.1248914795982
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,677300
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,24929307447.3237
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,36806.891255461
"Macao SAR, China",MAC,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
"Macao SAR, China",MAC,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.47822235346228
Madagascar,MDG,"Population, total",SP.POP.TOTL,30437261
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,15325603272.6097
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,503.51453347296
Madagascar,MDG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1513
